Day,Data
25,-30
25.04167,-27.5
25.08333,-25.1
25.125,-27.3
25.16667,-22.4
25.20833,-23.7
25.25,-24.8
25.29167,-23.2
25.33333,-28
25.375,-27.9
25.41667,-27.4
25.45833,-27.3
25.5,-26.2
25.54167,-25.2
25.58333,-27.2
25.625,-26.6
25.66667,-23.1
25.70833,-23.7
25.75,-19.1
25.79167,-20.4
25.83333,-23.2
25.875,-24.3
25.91667,-22.2
25.95833,-26.1
26,-24.2
26.04167,-23.1
26.08333,-22.6
26.125,-19.6
26.16667,-18.5
26.20833,-18.3
26.25,-18.6
26.29167,-18.2
26.33333,-18.6
26.375,-21.6
26.41667,-23.1
26.45833,-22.6
26.5,-25.8
26.54167,-23.7
26.58333,-19.3
26.625,-20.9
26.66667,-23.9
26.70833,-24.6
26.75,-23.4
26.79167,-22.1
26.83333,-18.9
26.875,-25.1
26.91667,-23.4
26.95833,-21.9
27,-22.6
27.04167,-22
27.08333,-24.8
27.125,-26.8
27.16667,-28.5
27.20833,-24.9
27.25,-28
27.29167,-28.5
27.33333,-28.4
27.375,-27.1
27.41667,-28.2
27.45833,-27.9
27.5,-27.6
27.54167,-27.1
27.58333,-26.7
27.625,-26.5
27.66667,-26.3
27.70833,-26.4
27.75,-26.2
27.79167,-25.9
27.83333,-23.6
27.875,-24
27.91667,-22.7
27.95833,-22.3
28,-23.2
28.04167,-22.9
28.08333,-22.9
28.125,-22.1
28.16667,-22.4
28.20833,-20.3
28.25,-20.6
28.29167,-20.1
28.33333,-20.4
28.375,-20.4
28.41667,-20.1
28.45833,-20.4
28.5,-21.2
28.54167,-22
28.58333,-22
28.625,-23.6
28.66667,-23.9
28.70833,-25.8
28.75,-26.8
28.79167,-28
28.83333,-23.8
28.875,-21.7
28.91667,-20.6
28.95833,-23.6
29,-22.6
29.04167,-21.2
29.08333,-21
29.125,-20.6
29.16667,-20.9
29.20833,-22.1
29.25,-21.4
29.29167,-30.5
29.33333,-32.4
29.375,-30.4
29.41667,-26.5
29.45833,-26
29.5,-26.4
29.54167,-26.4
29.58333,-26.5
29.625,-26.2
29.66667,-27
29.70833,-28.1
29.75,-27.6
29.79167,-26.7
29.83333,-25.8
29.875,-27.1
29.91667,-24.6
29.95833,-31.1
30,-29.2
30.04167,-25.5
30.08333,-25.8
30.125,-26.5
30.16667,-25.3
30.20833,-28
30.25,-27.3
30.29167,-26.9
30.33333,-27.6
30.375,-27.8
30.41667,-27.2
30.45833,-27
30.5,-27.2
30.54167,-27.8
30.58333,-28.5
30.625,-28.2
30.66667,-27.8
30.70833,-28.9
30.75,-28.9
30.79167,-29.4
30.83333,-29.2
30.875,-27.7
30.91667,-26.6
30.95833,-27
31,-27.2
31.04167,-26.1
31.08333,-27
31.125,-29.5
31.16667,-31.1
31.20833,-31.1
31.25,-31.9
31.29167,-26.5
31.33333,-24.9
31.375,-31.5
31.41667,-28.5
31.45833,-30.4
31.5,-30.4
31.54167,-27.3
31.58333,-27.9
31.625,-29.6
31.66667,-30.5
31.70833,-26.3
31.75,-24
31.79167,-24.2
31.83333,-27.9
31.875,-30.1
31.91667,-30.4
31.95833,-21.4
32,-27.6
32.04167,-31.5
32.08333,-27.6
32.125,-27.9
32.16667,-25.9
32.20833,-25
32.25,-25.7
32.29167,-24.1
32.33333,-24.7
32.375,-24.5
32.41667,-23.7
32.45833,-27.6
32.5,-28
32.54167,-27.2
32.58333,-26.7
32.625,-24.7
32.66667,-24.8
32.70833,-22.4
32.75,-22.5
32.79167,-23.5
32.83333,-22.6
32.875,-23.9
32.91667,-23.6
32.95833,-25.2
33,-22.8
33.04167,-21.2
33.08333,-18.9
33.125,-18
33.16667,-16.2
33.20833,-17.1
33.25,-17.3
33.29167,-18
33.33333,-18.6
33.375,-18.4
33.41667,-17.6
33.45833,-17.3
33.5,-19
33.54167,-21.4
33.58333,-23.8
33.625,-24.3
33.66667,-24.3
33.70833,-24.3
33.75,-24.3
33.79167,-25
33.83333,-25.3
33.875,-24.3
33.91667,-23
33.95833,-22.7
34,-26.1
34.04167,-23.1
34.08333,-27.2
34.125,-25.5
34.16667,-24.7
34.20833,-24.5
34.25,-27.3
34.29167,-27.4
34.33333,-23.7
34.375,-26.3
34.41667,-24.8
34.45833,-21.8
34.5,-22.3
34.54167,-21.2
34.58333,-21.1
34.625,-22
34.66667,-22.5
34.70833,-22.8
34.75,-23.1
34.79167,-22.8
34.83333,-23.1
34.875,-23.6
34.91667,-24.7
34.95833,-23.7
35,-23.4
35.04167,-23.5
35.08333,-23.5
35.125,-23.9
35.16667,-24.4
35.20833,-23.9
35.25,-27.1
35.29167,-29.4
35.33333,-29.2
35.375,-31.8
35.41667,-33.3
35.45833,-34.2
35.5,-34.9
35.54167,-35.5
35.58333,-39
35.625,-36.5
35.66667,-33.3
35.70833,-36.8
35.75,-39.2
35.79167,-37.7
35.83333,-36
35.875,-34.7
35.91667,-38.5
35.95833,-40.2
36,-35.4
36.04167,-34.7
36.08333,-38.5
36.125,-36.8
36.16667,-37.2
36.20833,-33.6
36.25,-32.1
36.29167,-31
36.33333,-30.8
36.375,-31
36.41667,-30.9
